name	inn	Company name	revenue_2021_mln_$USA
ООО "Эмерсон"	7705130530	Emerson Electric	136,0
ООО "ДЖИИ РУС"	7705574092	GE (General Electric International (Benelux) B.V. )	136,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ХОНЕВЕЛЛ	7710065870	Honeywell	136,0
ООО "РАЙФФАЙЗЕН-ЛИЗИНГ"	7702278747	Raiffeisen	136,0
ООО "ЦЕРСАНИТ ТРЕЙД"	7718640257	Cersanit	136,0
ООО "ТОЙОТА БОШОКУ"	7840337919	Toyota	135,0
ООО "АЛКОН ФАРМАЦЕВТИКА"	7709354370	Alcon	135,0
ООО "ОРАНЖ БИЗНЕС СЕРВИСЕЗ"	7710456087	Orange Business Services	133,0
ООО "Вило Рус"	7702176142	Wilo SE	133,0
ООО "Рош Диагностика Рус"	7702719945	Roche	133,0
ООО "КНАУФ Инсулейшн"	5045033365	Knauf Gips	133,0
ООО "ПрайсвотерхаусКуперс Консультирование"	7710764839	PwC	132,0
ООО "Леви Штраусс Москва"	7707672105	Levi Strauss	131,0
ООО "Жефко"	7704505900	GEFCO Group	129,0
ООО "ЙОКОХАМА РУС"	5047065059	Yokohama	129,0
ЗАО "КАММИНЗ КАМА"	1650142011	Cummins	129,0
ООО "ВЕКА Рус"	7728165949	VEKA AG	128,0
ООО "МАНН+ХУММЕЛЬ"	7715651116	Mann+Hummel	128,0
СОФТВЭРУАН	5044057860	SoftwareONE	127,0
БЕНТЕЛЕР АУТОМОТИВ	5321119656	Benteler International	127,0
ООО "ХЕСОН РУС"	7722811106	Hyosung	126,0
ООО "Хухтамаки С.Н.Г."	7724000760	Huhtamaki	126,0
ООО "Ти Пи Ви Си-Ай-Эс"	4703119938	TPV Group	126,0
ООО "ЭОС"	7714704125	EOS	126,0
ООО "РЕХАУ Продукцион"	7709391854	Rehau	126,0
СИМЕНС ГАМЕСА РЕНЬЮЭБЛ ЭНЕРДЖИ	9705113056	Siemens Energy AG (Independent)	126,0
ООО "БАРИЛЛА РУС"	5044022794	Barilla Group	125,0
ФЕС ПРОДУКТ	5007049413	Future Group	125,0
ООО "ЭГГЕР ДРЕВПРОДУКТ ШУЯ"	7704267807	EGGER	125,0
ООО "ПЕРИ"	7703564677	PERI Group	125,0
СОФТ ЛОДЖИСТИК	7702619370	Softline International	124,0
ООО "Штраус"	7726584503	Strauss Coffee	124,0
ООО "Ориент Хоусхолд Апплиансес"	7714702390	Midea Group	124,0
ООО "МЕТСО ОУТОТЕК"	7810339041	Metso Outotec	124,0
ООО "Метабо Евразия"	7743520370	Metabowerke	124,0
ООО "Ивеко Руссия"	7743601156	Iveco	124,0
САМСУНГ СДС РУС	7704833266	Samsung	124,0
САММИТ МОТОРС (ВЛАДИВОСТОК)	2543070614	Sumitomo	123,0
ООО "КАРЛСБЕРГ ВОСТОЧНАЯ ЕВРОПА"	7802831436	Carlsberg Group	122,0
ООО "Онтэкс РУ"	5044046964	Ontex Group	122,0
ООО "Мордрага"	7838315890	DEME	121,0
ООО "КСА ДОЙТАГ РАША"	6501145128	KCA Deutag	121,0
АО "ДОЙЧЕ ЛИЗИНГ ВОСТОК"	7707282610	Deutsche Leasing	121,0
ООО "Ред Булл (Рус)"	7704532646	Red Bull	121,0
ООО "АМКОР ФЛЕКСИБЛЗ НОВГОРОД"	5321099632	AMCOR	121,0
ООО "Гроэ"	7724502632	Grohe	119,0
ООО "Сделай Своими Руками Северо-Запад"	7802354624	OBI Group	119,0
ООО "ДЖ.Т.И. ДОНСКОЙ ТАБАК"	6162060967	Japan Tobacco International	119,0
ООО "ЭГИС-РУС"	7715644750	Egis	118,0
АО "АР КАРТОН"	2353017002	AP Packaging	118,0
ООО "Кристиан Диор Кутюр Столешников"	7707583102	Christian Dior	118,0
АО "СТОКМАНН"	7717145242	Stockmann	117,0
ООО «Эрнст энд Янг - оценка и консультационные услуги»	7705637264	EY	115,0
ООО "КАНДИ С.Н.Г."	7704512015	Candy	115,0
ООО "Камоцци Пневматика"	7710028420	Camozzi Group	115,0
ООО "Гардиан Стекло Ростов"	6148559000	Guardian Industries	115,0
ФРОНЕРИ РУС	9705068847	Froneri	114,0
ООО "ЮПМ-Кюммене Чудово"	5318007590	UPM	114,0
ООО "ДИАДЖЕО БРЕНДЗ ДИСТРИБЬЮТОРЗ"	7707512341	Diageo	114,0
ООО "Пилкингтон Гласс"	5040054932	Pilkington	114,0
ООО "БЕЙКЕР ХЬЮЗ РУС ИНФРА"	7703636314	Baker Hughes	113,0
ООО "КНАУФ ГИПС НОВОМОСКОВСК"	7116502098	Knauf Gips	113,0
ООО "АМКОР ТП НОВГОРОД"	5321070760	AMCOR	113,0
ООО "Валио"	7801467537	Valio	113,0
ООО "САФ-НЕВА"	7826691266	Lesaffre	113,0
ООО "КНАУФ ГИПС КОЛПИНО"	7817302330	Knauf Gips	113,0
ГАРДИАН СТЕКЛО РЯЗАНЬ	6234017547	Guardian Industries	113,0
АМАЗОНЕ ООО	5036068160	Amazone	113,0
ООО "Аристон Термо Русь"	4703066115	Ariston	111,0
ООО "ТиссенКрупп Элеватор"	7703342145	ThyssenKrupp	111,0
ООО "КНАУФ ГИПС БАЙКАЛ"	3851004128	Knauf Gips	111,0
ООО "Страдивариус СНГ"	7717555217	Inditex	111,0
ООО "Грайф Пермь"	5905221661	Greif	111,0
ООО "Солар Турбинс СиАйЭс"	7705879048	Caterpillar	111,0
ООО "Крес Нева"	4720011412	Japan Tobacco International	110,0
ДЖОНСОН МАТТИ КАТАЛИЗАТОРЫ	2462036622	Johnson Matthey	110,0
ООО Миле СНГ	7705213811	Miele	110,0
ЭНКА ТЦ	7702190316	Enka İnşaat ve Sanayi A.Ş.	110,0
ИНЧКЕЙП Т	7743601124	Inchcape	109,0
МУСА МОТОРС ДЖЕЙ ЭЛ ЭР	7714706838	Inchcape	108,0
ООО "БДР ТЕРМИЯ РУС"	7717615508	BDR Thermea	108,0
КАТКОНЕФТЬ	8608180009	Petro Welt Technologies	107,0
КЕЛЛИ СЕРВИСЕЗ СИ-АЙ-ЭС	7710284310	Kelly	107,0
ООО "Мерц Фарма"	7714689244	Merz Pharma	107,0
ООО "МАРКА РУС"	7705675358	Marks & Spencer	107,0
ООО "ССАБ СНГ"	7816366147	SSAB	107,0
АКЦИОНЕРНОЕ ОБЩЕСТВО БЕЛГОРОДСКИЙ МОЛОЧНЫЙ КОМБИНАТ	3124011000	Parmalat	106,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ЛИНДЕ ГАЗ РУС	5001000041	Linde	106,0
ООО "ХЬЮГО БОСС РУС"	7705998285	Hugo Boss	106,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ОРАКЛ КОМПЬЮТЕРНОЕ ОБОРУДОВАНИЕ	7728161870	Sun Microsystems	105,0
ООО "МИЦУБИСИ ЭЛЕКТРИК (РУС)"	7705515114	Mitsubishi Motors	104,0
АО "РЕЗИНЕКС РУС"	7704691396	Resinex	104,0
ООО "Юнилин"	5249098593	Mohawk Industries	104,0
ООО "Аллерган СНГ САРЛ"	7709771398	Allergan	104,0
ЗАО "Элопак"	7729363291	Elopak	103,0
ООО "Сириал Партнерс Рус"	7705598512	Nestle	103,0
ООО "Содексо ЕвроАзия"	7722267655	Sodexo	103,0
РЕЙЛ КАРГО ЛОГИСТИКС - РУС	6659090952	Rail Cargo Group	103,0
ООО "ПФАЙЗЕР"	7709722633	Pfizer	101,0
ООО "Ив Роше Восток"	7710217064	Yves Rocher	101,0
ООО "Маттел"	7710747833	Mattel	101,0
ООО "Свотч Груп (РУС)"	7704582037	Swatch	101,0
ООО "Хасбро Раша"	5047129351	Hasbro	100,0
ООО "шаттдекор"	5049011877	Schattdecor	100,0
ООО "КВС Интернэшнл"	7725778471	Calfrac Well Services	100,0
АО "МЭРИ КЭЙ"	7716027060	Mary Kay	99,0
АКЦИОНЕРНОЕ ОБЩЕСТВО БЕЛЕБЕЕВСКИЙ ОРДЕНА ЗНАК ПОЧЕТА МОЛОЧНЫЙ КОМБИНАТ	255000046	Groupe Savencia	99,0
ООО "Хонда Мотор РУС"	7710529289	Honda	99,0
АО "АЛЬФА ЛАВАЛЬ ПОТОК"	5018035564	Alfa Laval	99,0
ООО "Хино Моторс Сэйлс"	7703669870	Hino Motors	99,0
АКЦИОНЕРНОЕ ОБЩЕСТВО СИЛД ЭЙР КАУСТИК	3448003994	Sealed Air	98,0
ЗАО "профайн РУС"	7707131508	HT Troplast	97,0
ЗАО "КЕРАМА ЦЕНТР"	7722003980	Mohawk Industries	97,0
ЦФ КАМА	1650126122	ZF Friedrichshafen	97,0
ООО "Порше Центр Москва"	7743639128	Porsche	97,0
ООО "Тойота Цусе РУС"	7810060890	Toyota	97,0
ПОЛАР СИФУД РАША	5030064498	Polar Seafood Group	97,0
ЗАО "Фрезениус СП"	7736045187	Fresenius	96,0
ООО "Майкрософт Рус"	7743528989	Microsoft	96,0
ООО "МЕРСЕДЕС-БЕНЦ МАНУФЭКЧУРИНГ РУС"	5029213040	Daimler	96,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ВЕСТА	4346047144	Candy	96,0
ООО "РОШ ДИАБЕТЕС КЕА РУС"	7702401278	Roche	96,0
ООО "КНАУФ ГИПС ЧЕЛЯБИНСК"	7447141540	Knauf Gips	96,0
ООО "ЛЕОНИ РУС"	5248023242	Leoni AG	96,0
ООО "АРПИ КАНОН МЕДИКАЛ СИСТЕМЗ"	7728485265	Canon Medical Systems	96,0
АО "Тракья Гласс Рус"	1646027023	Sisecam	96,0
ООО "Прада Рус"	7718729515	Prada	96,0
ООО "ФНС СНГ"	5075030450	LX Pantos	96,0
БОШ ТЕРМОТЕХНИКА	7724506852	Robert Bosch	95,0
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ВОЛЖСКИЙ АБРАЗИВНЫЙ ЗАВОД	3435000467	Carborundum Universal	95,0
ООО "Хускварна"	5047004970	Husqvarna	94,0
ООО "Аггреко Евразия"	7705838531	AGGREKO UK	94,0
ООО "ЭР ЛИКИД"	7709606250	Air Liquide	94,0
ООО "КЛАРАНС"	7704549978	Clarins	93,0
ХУАДЯНЬ-ТЕНИНСКАЯ ТЭЦ	7604217961	China Huadian Corporation	93,0
ООО "ДЖИИКСО ЛОДЖИСТИКС"	5260168445	GXO Logistics	93,0
ООО "Риттер Спорт Шоколад"	7704252536	Ritter Sport	93,0
ООО "Банг и Бонсомер"	7726568572	Bang & Bonsomer	93,0
ЗАО "ПУРАТОС"	7702048461	Puratos	93,0
ООО "ЮСЕН ЛОДЖИСТИКС РУС"	7734515704	Yusen Logistics	93,0
АО "КОНЕ ЛИФТС"	7704186604	Kone	92,0
ТР-ЛИНК	7718782082	TP-Link	92,0
ООО "ММ ПОФ Пэкэджинг"	4720022460	Mayr-Melnhof	92,0
ООО "Амкор ТП Санкт-Петербург"	7842315276	AMCOR	92,0
ООО "Новартис Нева"	7814494665	Novartis	92,0
АТОС АЙТИ СОЛЮШЕНС ЭНД СЕРВИСЕЗ	7725707142	Atos	91,0
ООО "ИнтеллиДжей Лабс"	7811117852	JetBrains s.r.o.	90,0
ООО "Петроком - Липецк"	4825041742	AkzoNobel	90,0
ООО "БРЕННТАГ"	7704564743	Brenntag	90,0
ООО "Сименс Трансформаторы"	3662149488	Siemens	90,0
БЕКМЕН КУЛЬТЕР	7710745138	Danaher	90,0
МАММУТ РУС	9726004298	Mammoet	90,0
АО "ЮИТ САНКТ-ПЕТЕРБУРГ"	7814313164	YIT	89,0
ООО "БОНАВА САНКТ-ПЕТЕРБУРГ"	7841322136	Bonava	89,0
ООО "СИГНИФАЙ ЕВРАЗИЯ"	7703388189	Signify	89,0
ООО "ЗОЭТИС"	7709657102	Zoetis	89,0
ООО "Феникс Контакт РУС"	7702332747	Phoenix Contact	89,0
ООО "САНДОРА"	7731309975	Pepsi	89,0
ООО "Йура Корпорейшн РУС"	7801464688	Yura Corporation	89,0
ООО "КВС РУС"	7728179035	KWS SAAT	89,0
АО "ПАНАЛЬПИНА УОРЛД ТРАНСПОРТ"	7729119110	DSV A/S	89,0
ООО "ГЕА РЕФРИЖЕРЕЙШН РУС"	7719217750	GEA Refrigeration Technologies	88,0
ООО "Сервис центр ЭПУ"	8604025355	Schlumberger	88,0
ООО "ЭРИСМАНН"	7727249875	Erismann & Cie.	88,0
ООО "ОБИ Прямой Импорт и Поставки"	7714873934	OBI Group	88,0
ХАНСА	5310013320	Amica	88,0
ППГ ИНДАСТРИЗ	7715544379	PPG	88,0
ООО "ЯЗАКИ ВОЛГА"	5248030708	Yazaki	88,0
ООО "ЧИПИТА САНКТ-ПЕТЕРБУРГ"	7807061269	Chipita	88,0
ООО "АйВиСи-Восток"	7627032100	Reima	88,0
ООО "Мется Свирь"	4711005733	Metsä Group	88,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ПРОМЫШЛЕННАЯ ГРУППА МЕТРАН	7448024720	Emerson Electric	87,0
МГЛ МЕТРО ГРУП ЛОГИСТИКС	7743534848	Metro AG	86,0
ООО "КАРЛ ЦЕЙСС"	7701234835	Carl Zeiss	86,0
ООО "КАМПАРИ РУС"	7723560448	Campari	86,0
КУБ ЕВРАЗИЯ	7728814569	KYB Corporation	86,0
АО "ПВК АУДИТ"	7705051102	PwC	85,0
ООО "МОЕТ ХЕННЕССИ ДИСТРИБЬЮШН РУС"	7706614654	LVMH	85,0
ЛИНДЕ ИНЖИНИРИНГ РУС	6315643246	Linde	85,0
МЕГА БЕЛАЯ ДАЧА	5027108265	Ingka	85,0
ООО "Кока-Кола Софт Дринк Консалтинг"	7701206556	Coca-Cola	85,0
АККУРАЙД УИЛЗ РУССИА	7714830585	Accuride	85,0
АКЦИОНЕРНОЕ ОБЩЕСТВО РАНБАКСИ	7720508094	Sun Pharma	84,0
ООО "АРВАЛ"	7743601808	BNP Paribas	83,0
ООО "Фуяо Стекло Рус"	4028047687	Fuyao Glass Industry Group	83,0
ООО "ГАЛЕРЕЯ-АЛЕКС"	7704520601	KFC	83,0
ООО "ХОРШ Русь"	4813013074	HORSCH	83,0
ООО "ИОКОГАВА ЭЛЕКТРИК СНГ"	7703152232	Yokogawa	82,0
ООО "ВАЙЛАНТ ГРУП РУС"	7726544821	Vaillant Group	82,0
ЗАО "АКЗО НОБЕЛЬ ДЕКОР"	5001027607	AkzoNobel	82,0
ООО "Катерпиллар Тосно"	4716010046	Caterpillar	82,0
ООО "Бекарт Липецк"	4802011068	Bekaert	82,0
ООО "ОНДУЛИН"	7728193865	Onduline Group	82,0
ООО "ВИВО РУС"	5024179740	Vivo	82,0
ООО "Рейма"	7707747022	Reima	81,0
ООО "Йотун Пэйнтс"	7805360880	Jotun	81,0
ООО "Суффле Агро Рус"	4802010280	Soufflet Group	81,0
ПОТЕНЦИАЛ	1217006507	Schneider Electric	81,0
ООО ДАУ Кемикал	7735096894	Dow Chemical	81,0
САРТОРИУС СТЕДИМ РУС	7816393060	Sartorius AG	81,0
ТЮМЕНСКИЙ ЗАВОД НЕФТЕПРОМЫСЛОВОГО ОБОРУДОВАНИЯ	7203284939	Baker Hughes	80,0
ООО "АСТОН КРАХМАЛО-ПРОДУКТЫ"	6225010432	ADM	79,2
ООО "ХОЛСИМ(РУС)"	6441025673	Holcim Group	79,0
ЗАО "БЕРЛИН-ФАРМА"	7714033558	Berlin-Chemie	79,0
ООО "Гленмарк Импэкс"	7709345865	Glenmark Pharmaceuticals	79,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ШУКО ИНТЕРНАЦИОНАЛ МОСКВА	5044019801	Schüco	79,0
РОБЕРТ БОШ САРАТОВ	6449069048	Robert Bosch	79,0
ООО "МАНИТУ ВОСТОК"	3123148034	Manitou Group	78,0
ООО "ДМГ МОРИ РУС"	7707537258	DMG MORI AKTIENGESELLSCHAFT	78,0
ООО "Керри"	7707597514	Kerry group	78,0
ООО "Тэлко"	7802160570	Aspo	78,0
ООО "БОСКАЛИС"	7814387166	Boskalis	78,0
ООО "ААК"	7709851438	AAK	78,0
АКЦИОНЕРНОЕ ОБЩЕСТВО НОВО-ШИРОКИНСКИЙ РУДНИК	7504001084	Highland Gold	76,0
ООО "СНГТ"	6501203041	Fluor Corporation	76,0
ООО "САНДВИК"	7715575578	Sandvik Coromant	76,0
ООО "Бош Пауэр Тулз"	6449043071	Robert Bosch	76,0
ООО "ЭФЭМСИ"	7706287767	Cheminova A/S	76,0
ООО "ИКЕА ИНДАСТРИ ТИХВИН"	4715011103	IKEA	76,0
ООО "ЛОДЕ"	7709828703	Devanlay-Eren	76,0
ООО "ФЛСМИДТ РУС"	7729591347	FL Smidth	76,0
ООО "Клариант (РУС)"	7727554212	Clariant AG	75,0
КАТОЙЛ-ДРИЛЛИНГ	8608052470	Petro Welt Technologies	75,0
ООО "Ямаха Мотор Си-Ай-Эс"	7743558302	Yamaha Motor Company	75,0
ООО "ГЕА Фарм Технолоджиз Рус"	7701317584	GEA Refrigeration Technologies	75,0
ООО "Лимагрен РУ"	2310138468	GROUPE LIMAGRAIN/JACQUET-BROSSARD	75,0
АО "САН КЕМИКЭЛ"	7719002190	Sun Chemical	75,0
ООО "Л`ОКСИТАН РУС"	7707591760	L'Occitane	75,0
ООО "РЕНУС ИНТЕРМОДАЛ СИСТЕМС"	7810281169	Rhenus Intermodal Systems	75,0
ООО "БПВ-ОСТ"	7718239800	BPW	75,0
ВАНЬХУА БОРШОДКЕМ РУС	7707412139	Wanhua Chemical Group	75,0
ООО "ЭЙ энд ДИ РУС"	7731547200	A&D	74,0
ООО "Паулиг Рус"	6949003920	Paulig	74,0
ООО "Стора Энсо Форест Вест"	7841001397	Stora Enso	74,0
КАТОБЬНЕФТЬ	8603023073	Petro Welt Technologies	73,0
ДЖОЙСОН СЕЙФТИ СИСТЕМС РУС	7325097407	Joyson Safety Systems	73,0
СЕРТОВ	5043024478	Solvay	72,0
ООО "АГРАНА Фрут Московский регион"	5050040270	AGRANA	72,0
ООО "Аллер Петфуд"	4703074719	Aller Petfood Group A/S	72,0
ООО "БАСФ Восток"	7710317252	BASF SE	72,0
ООО "КОФЕ СИРЕНА"	7714685546	Starbucks	72,0
ООО "ДОШИРАК КОЯ"	5040055742	Paldo Food Co	72,0
ООО "ПУЧ РУС"	7710870594	PUIG SL	72,0
ООО "Трау Нутришен Воронеж"	3123158515	Nutreco	72,0
ТОЙО ТАЯ РУС	7707678121	Toyo Tires	71,0
ООО "ТЕМА РИТЕЙЛ РУ"	7715867370	LC Waikiki	71,0
НВХ РУС	7840394360	NVH Korea	71,0
ООО "НЬЮ ЙОРКЕР РУС"	7705886895	New Yorker Group Services	71,0
ООО "НЬЮ ЙОРКЕР Ритейл РУС"	7705886905	New Yorker Group Services	71,0
ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ДАНИСКО	7736133436	Danisco	70,0
ООО "Мобил Ойл Лубрикантс"	7707238770	ExxonMobil	69,0
РОЛЛС-РОЙС СОЛЮШЕНС РУС	7728849515	Rolls Royce	69,0
ООО "АРМСТРОНГ ВОРЛД ИНДАСТРИЗ"	7728631727	Armstrong World Industries	69,0
ХЕНДЭ ТРАК ЭНД БАС РУС	7703416710	Hyundai	69,0
ООО "ЗАМБОН ФАРМА"	7704654651	Zambon	69,0
ООО "Ойшо СНГ"	7717574107	Inditex	69,0
ООО "ВАБКО РУС"	7717695969	WABCO Holdings	69,0
ООО "Бентек"	3906134785	Bentec	69,0
ООО "Хасслахерлес"	5307007478	HASSLACHER Holding	69,0
ГУЧЧИ РУС	7708790060	Gucci	69,0
ОАО "МОС ОТИС"	7728054220	Otis Worldwide	68,0
ООО "ЗЕНТИВА ФАРМА"	7707202163	Zentiva	68,0
ООО "ДТ АЙТИ РУС"	7708807718	Deutsche Telekom	68,0
ЗАО "ЭРИКССОН КОРПОРАЦИЯ АО"	7731140006	Ericsson	68,0
ООО "МАРЧЕГАЛИЯ РУ"	7702681272	Marcegaglia	68,0
ООО "ЗИКА"	7714305360	Sika	68,0
ООО "ПОСУДА"	5246020905	Sisecam	68,0
КЛ ГРУПП	7709986587	United Shipping & Trading Company	68,0
ООО "Сетново"	5306006224	Stora Enso	68,0
ХАЙЕР ИНДАСТРИ РУС	1650371043	Haier	68,0
ООО "ДИСНЕЙ СТУДИОС"	7704747151	Disney	68,0
ООО "Панасоник Рус"	7728524637	Panasonic	67,0
ООО "АРЛА ФУДС"	7813382535	Arla Foods	67,0
ПЕТЕРБУРГ ПРОДАКТС ИНТЕРНЕШНЛ	7820068471	Procter & Gamble	67,0
ООО "Линде Материал Хэндлинг Рус"	7717702020	Linde	67,0
РОБЕРТ БОШ САМАРА	6330056813	Robert Bosch	67,0
АО "ФМ ЛОЖИСТИК РУС"	5048081913	FM Logistic	67,0
ООО "Либхерр-Нижний Новгород"	5262155681	Liebherr	67,0
ООО "Мется Форест Подпорожье"	4711002404	Metsa	67,0
ЭЛАСТОКАМ	1651027131	BASF SE	67,0
ЮНИВЕРСАЛ ПИКЧЕРС ИНТЕРНЭШНЛ	7703693915	Universal Pictures	67,0
ООО "Джой Глобал"	4211010319	Komatsu	65,0
ООО "Б. Браун Авитум Руссланд"	7801448742	B. Braun	65,0
ООО "ЙОКОХАМА Р.П.З."	4802011710	Yokohama	65,0
ДСМ НУТРИШНЛ ПРОДУКТС РУС	1650206593	DSM	65,0
ООО "Хеллманн"	7722637955	HEE Trans European Management GmbH	65,0
ООО "ХЕНДЭ ИНЖИНИРИНГ РУС"	7702663731	Hyundai	65,0
ПРО ВОСТОК	7725498851	Leroy Merlin	65,0
ОУ-ОУ-СИ-ЭЛ ЛОГИСТИКА (РАША) ЛИМИТЕД	7805600733	OOCL (Orient Overseas Container Line Limited)	65,0
ООО "Риттал"	7716218811	Rittal	64,0
ООО "МБС СТРОИТЕЛЬНЫЕ СИСТЕМЫ"	5074024703	BASF SE	64,0
АЛЬЯНС МОТОР ТЮМЕНЬ	7203250471	Claas	64,0
ООО "Виссманн"	7716168776	Viessmann	64,0
МАРЕЛЛИ АУТОМОТИВ ЛАЙТИНГ РУС	6230025811	Magneti Marelli	64,0
ЕВРАЛИС СЕМАНС РУС	6167087786	Lidea	64,0
ООО "ДЕНСО РУС"	7714786181	Denso	64,0
ООО "Доширак Рязань"	2509059709	Paldo Food Co	64,0
ООО "Крокс Си-Ай-Эс"	7705829600	Crocs	64,0
ООО "ТИФФАНИ РАША"	7709901304	Tiffany & Co.	64,0
СОДЖИЦ	7703358811	Sojitz	64,0
ООО "Техкорм"	7706620619	Nutreco	63,0
ДРТ КОНСАЛТИНГ	7710976720	Deloitte	63,0
ООО "РОКА РУС"	4716020686	Roca	63,0
ООО "ГЕОКС РУС"	7718813164	Geox	63,0
ОРИОН ФАРМА	7704642198	Orion	63,0
ООО "МОНДИ ЛЕБЕДЯНЬ"	4811025162	Mondi Group	63,0
ОМИА УРАЛ	7708508323	Omya	62,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ЛЕДВАНС	6731002815	LEDVANCE	61,0
ООО "ГЕТТАКСИ РУС"	7704794345	Gett	61,0
ООО "ЭВЬЯП РУС"	7705549353	Evyap	61,0
ООО "Сименс ЭП"	7806330254	Siemens	61,0
ООО "Контейнекс РУС"	7729571397	CONTAINEX	61,0
АКЦИОНЕРНОЕ ОБЩЕСТВО МИЛИТЦЕР И МЮНХ	7706603589	Militzer & Münch	61,0
СЕТЛЕС	1005140010	Stora Enso	61,0
ООО "Сисмекс РУС"	7714827600	Sysmex Europe	61,0
ООО "ЛЕМКЕН-РУС"	5007049244	LEMKEN	60,0
ООО "Эндресс + Хаузер"	7718245754	Endress+Hauser	60,0
ООО "ПАУЛЬ ХАРТМАНН"	7710258600	HARTMANN GROUP	60,0
ООО "АСИКС РУС"	7710720863	Asics	60,0
СЕВА САНТЕ АНИМАЛЬ	7729370210	Ceva Santé Animale	60,0
ООО "ИДЕМИТСУ ЛУБРИКАНТС РУС"	7702743313	Idemitsu	60,0
ООО "Хеттих РУС"	5035012687	Hettich	60,0
ООО "Дюпон Наука и Технологии"	7710437944	Corteva Agriscience	60,0
ООО "ФЕРДИНАНД БИЛЬШТАЙН РУС"	7728798878	Bilstein	60,0
ЗАО "АМЕР СПОРТС"	5003052687	Amer Sports	60,0
ООО "МАЛЕ РУС"	7725600174	Mahle	60,0
ООО "САФ-ХОЛЛАНД Рус"	7702041346	SAF-Holland	60,0
КЕМУР КЕМИКАЛС РУС	7731479159	Chemours	59,0
ООО "ВАН ООРД РДМК"	7713345498	Van Oord	58,0
ООО "Хиллс Пет Нутришн"	7704737837	Hill's Pet Nutrition	58,0
ООО "ВЕИР МИНЕРАЛЗ РФЗ"	7702341685	Weir Minerals RFZ	58,0
ООО "ЯМАХА МЮЗИК"	7701732291	Yamaha Music	58,0
ООО "Тойота Тсусё Техника"	5029094160	Toyota	58,0
САРИЯ БИО-ИНДАСТРИС ВОЛГА	4811009629	Rethmann	58,0
ВЕСТАС МЭНЬЮФЭКЧУРИНГ РУС	7327083946	Vestas	57,0
ООО "Фрезениус Каби"	7704689446	Fresenius	57,0
ООО "ФИРМА "РАДИУС-СЕРВИС"	5904017215	Schlumberger	57,0
ФРЕЗЕНИУС НЕФРОКЕА ООО	7736522023	Fresenius	57,0
ЦЕНТР САНРАЙЗ	7814706158	Sojitz	57,0
ООО "АКЗО НОБЕЛЬ ЛАКОКРАСКА"	5034019048	AkzoNobel	57,0
ООО "Безен Хелскеа РУС"	7715661354	Besins Healthcare	57,0
ЦЕНТР КОРПОРАТИВНЫХ РЕШЕНИЙ	4823040990	Fletcher Hotels	57,0
ООО "ЮНАЙТЕД ПАРСЕЛ СЕРВИС (РУС)"	7707280394	UPS	57,0
КГ СТРОЙ СИСТЕМЫ	7816377614	Knauf Gips	57,0
ООО "МОНДИ ПЕРЕСЛАВЛЬ"	7608021328	Mondi Group	57,0
ООО "ЕПК - БРЕНКО ПОДШИПНИКОВАЯ КОМПАНИЯ"	6451421154	Amsted Rail Company	57,0
ООО "МЕДИТЕРРАНЕАН ШИППИНГ КОМПАНИ РУСЬ"	7805111901	Mediterranean Shipping Company	57,0
ООО "ХИТАЧИ ЭНЕРДЖИ"	7722477719	Hitachi	56,0
ООО "ЭЙ СИ НИЛЬСЕН"	7731459890	NielsenIQ	56,0
ЗАО "Алкатель-Лусент"	7806023239	Alcatel–Lucent S.A.	56,0
ДРЕГЕР	7710312462	Dräger	56,0
ООО "Лакталис Истра"	5017044478	Lactalis	56,0
ООО "ТНТ Экспресс Уорлдуайд (СНГ)"	7743003117	FedEx	56,0
ООО "БОШ РЕКСРОТ"	7717123961	Rexroth	56,0
ООО "Зара Хом СНГ"	7717582404	Inditex	56,0
ООО "Кардиомедикс"	7725230029	Kolmer Holding	56,0
БОНЕНКАМП	4725483338	Bohnenkamp AG	56,0
ПРИВОДЫ АУМА	7725158319	AUMA Riester GmbH	55,0
ПРАКСЭА РУС	7709804318	Linde	55,0
ДИРЕКТ СТАР	7702231594	Teleperformance	55,0
САНРАЙЗ ГРУПП	7725408569	Sojitz	55,0
ЭЙСАЙ	7704831981	Eisai	55,0
ООО "АНГАРАНЕФТЬ"	2466083119	Equinor	54,2
ООО "ОДИНЦОВСКАЯ КОНДИТЕРСКАЯ ФАБРИКА"	5032056319	Mars	54,0
ООО "САС ИНСТИТУТ"	7709858137	SAS Institute	54,0
ГЕКСАГОН ГЕОСИСТЕМС РУС	7717626771	Leica Geosystems	54,0
ООО "ФАЙАТ БОМАГ РУС"	5047111121	FAYAT Group	54,0
ИНТЕРПРИНТ САМАРА	6367659751	Toppan	54,0
БУЛГАРИ РАША	7710969160	LVMH	54,0
НОРД ИМПЕРИАЛ	7017103818	Imperial Energy Corporation	54,0
ХАРТИНГ	7804611348	Harting	53,0
